Sub category,Ward Name
Potholes,Garudachar Palya
Potholes,Garudachar Palya
Potholes,Garudachar Palya
Potholes,Garudachar Palya
Potholes,Garudachar Palya
Potholes,Garudachar Palya
Potholes,Garudachar Palya
Potholes,Garudachar Palya
Potholes,Girinagar 
Potholes,Gottigere
Potholes,Gurappanpalya
Potholes,Gurappanpalya
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HAL Airport 
Potholes,HBR Layout
Potholes,HBR Layout
Potholes,HBR Layout
Potholes,HBR Layout
Potholes,HBR Layout
Potholes,HBR Layout
Potholes,HBR Layout
Potholes,HBR Layout
Potholes,HBR Layout
Potholes,HBR Layout
Potholes,HMT
Potholes,HMT
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,HSR Layout 
Potholes,Hagadur
Potholes,Hagadur
Potholes,Hagadur
Potholes,Hagadur
Potholes,Hagadur
Potholes,Hagadur
Potholes,Hagadur
Potholes,Hagadur
Potholes,Hagadur
Potholes,Hagadur
Potholes,Hagadur
Potholes,Hagadur
Potholes,Hagadur
Potholes,Hemmigepura
Potholes,Herohalli
Potholes,Hombegowda Nagar 
Potholes,Hongasandra 
Potholes,Hongasandra 
Potholes,Hoodi
Potholes,Hoodi
Potholes,Hoodi
Potholes,Hoodi
Potholes,Hoodi
Potholes,Hoodi
Potholes,Hoodi
Potholes,Hoodi
Potholes,Hoodi
Potholes,Hoodi
Potholes,Hoodi
Potholes,Hoodi
Potholes,Hoodi
Potholes,Hoodi
Potholes,Horamavu
Potholes,Horamavu
Potholes,Horamavu
Potholes,Horamavu
Potholes,Horamavu
Potholes,Hosakerehalli
Potholes,Hosakerehalli
Potholes,Hosakerehalli
Potholes,Hoysala Nagar
